"Camera","Start","End","Problem1_from","Problem1_to","Problem2_from","Problem2_to","Problem3_from","Problem3_to","Problem4_from","Problem4_to","Problem5_from","Problem5_to","Notes_3","Notes_4"
"A06","7/7/16","12/31/16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A08","7/7/16","10/13/19","1/31/17","6/16/17","2/7/18","5/27/18","1/1/19","5/24/19",NA,NA,NA,NA,"lots misfires but not obstructing ct view",NA
"A10","7/7/16","10/13/19","12/21/16","6/17/17","11/7/17","11/9/18","12/26/18","6/3/19",NA,NA,"7/6/19","7/13/19",NA,NA
"B05","7/5/16","10/13/19","1/13/17","2/23/17","6/27/17","6/28/18","10/8/18","5/25/19",NA,NA,NA,NA,"lots misfires but not obstructing ct view","Lots of misfires, but no vegetation obstructing camera"
"B07","7/5/16","10/13/19","5/25/19","8/12/19",NA,NA,NA,NA,NA,NA,NA,NA,"smashed 12/31/2018; date reset but corrected in additional year 3 data","Corrected timestamp, but lots of missing data"
"B09","7/7/16","10/13/19","1/10/17","4/22/17","1/20/18","2/18/18",NA,NA,NA,NA,NA,NA,"reset in January; continued taking pictures until collected in May; fixed Jan-May date time in additional year 3 data",NA
"C06","7/5/16","9/11/19","1/7/17","4/15/17","12/29/17","5/13/18","1/27/19","3/21/19",NA,NA,"5/17/19","5/25/19","grass overgrew camera in jan, died down by march","Smashed by elephants and reset"
"C08","7/5/16","10/8/19","5/24/19","5/25/19",NA,NA,NA,NA,NA,NA,NA,NA,"lots misfires but not obstructing ct view",NA
"D03","6/23/16","10/8/19","12/27/16","6/9/17","12/28/17","3/18/18","1/12/19","3/14/19",NA,NA,"3/20/19","5/25/19","camera field of view overgrown; clears when floodwaters come","Lots of misfires, but no vegetation obstructing camera"
"D05","7/6/16","10/8/19","1/20/17","6/11/17","4/10/18","6/28/18",NA,NA,NA,NA,NA,NA,"resets 2x, but runs until collected; fixed timeshift in additional data year 3","Timestamp resets"
"D07","6/23/16","10/13/19","9/21/16","10/28/16","7/20/18","5/28/19",NA,NA,NA,NA,NA,NA,"resets multiple time; figured out some of reset","Some misfires, but no vegetation obstructing camera"
"D09","7/11/16","12/24/16","8/7/16","11/13/16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E02","6/23/16","10/8/19","2/20/17","6/9/17","1/7/18","5/8/18","9/7/18","6/4/19",NA,NA,NA,NA,"many misfires",NA
"E04","7/6/16","6/5/19","9/9/17","6/10/18","8/6/18","5/25/19",NA,NA,NA,NA,NA,NA,"many misfires","FIGURE OUT RESET"
"E06","6/25/16","9/27/19","1/28/17","5/11/17","8/16/17","5/11/18","9/11/18","5/27/19",NA,NA,NA,NA,"many misfires; image overexposed","Lots of misfires, but no vegetation obstructing camera"
"E08","6/25/16","9/7/19","12/5/16","2/16/17","12/17/17","5/13/18","5/27/19","6/2/19",NA,NA,"6/6/19","9/6/19",NA,"Blur over lens + v. few pics --> replace camera"
"E10","7/8/16","10/5/19","11/23/17","5/27/18","1/10/19","3/26/19",NA,NA,NA,NA,NA,NA,"overgorwn",NA
"E12","7/14/16","6/30/18","6/29/17","6/28/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F01","7/6/16","10/6/19","12/4/16","6/27/17","1/17/19","3/14/19",NA,NA,NA,NA,"3/14/19","6/5/19",NA,"Lots of misfires, but no vegetation obstructing camera"
"F03","6/25/16","10/12/19","12/26/16","6/11/17","7/14/18","9/15/18",NA,NA,NA,NA,NA,NA,NA,NA
"F05","7/6/16","5/27/19","8/2/16","11/5/16","9/26/17","5/11/18",NA,NA,NA,NA,NA,NA,NA,"Only two pics - replace camera?"
"F07","7/5/16","10/4/19","3/6/17","6/10/17","10/17/17","5/13/18",NA,NA,NA,NA,NA,NA,NA,NA
"F09","9/9/16","7/6/17","12/27/16","5/17/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F11","7/8/16","10/5/19","12/20/16","3/16/17","12/31/17","3/5/18",NA,NA,NA,NA,NA,NA,NA,NA
"G02","7/6/16","10/6/19","11/5/16","6/12/17","5/13/18","5/14/18","3/14/19","6/5/19",NA,NA,NA,NA,NA,"Facing floodwaters"
"G04","6/25/16","9/29/19","3/14/19","5/27/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lots of misfires, but no vegetation obstructing camera"
"G06","7/5/16","10/12/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G08","7/12/16","10/4/19","12/29/16","1/4/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G10","7/8/16","6/29/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G12","7/10/16","10/5/19","3/7/17","7/24/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H03","7/6/16","3/15/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grass overgrew camera; then camera white",NA
"H05","7/5/16","5/27/19","1/20/18","5/13/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test images for class?"
"H07","7/7/16","11/21/18","12/27/16","4/2/17","8/17/17","9/15/18",NA,NA,NA,NA,NA,NA,"lots of misfires","Datetimes all incorrect - invalidate entire roll"
"H09","7/7/16","6/17/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H11","7/10/16","5/17/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H13","7/10/16","2/2/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I04","7/5/16","8/14/19","4/21/18","6/10/18","3/17/19","7/18/19",NA,NA,NA,NA,NA,NA,NA,NA
"I06","7/7/16","10/4/19","12/27/16","4/15/17","12/28/17","5/13/18","10/18/18","5/29/19",NA,NA,NA,NA,"lots of misfires",NA
"I08","7/12/16","10/4/19","1/8/17","6/22/17","3/22/18","6/29/18","1/10/19","3/1/19",NA,NA,"3/22/19","5/29/19","lots of misfires; overgrew",NA
"I10","7/12/16","10/5/19","12/26/16","3/27/17","12/11/17","6/29/18",NA,NA,NA,NA,NA,NA,NA,"Some misfires, but no vegetation overgrowing the camera trap"
"I12","7/10/16","10/5/19","12/25/16","4/27/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I14","7/12/16","1/9/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J03","7/5/16","10/5/19","12/18/16","6/18/17","12/14/17","7/3/18","12/30/18","1/24/19",NA,NA,"1/24/19","7/18/19",NA,"Camera is kind of facing down, reposition up?"
"J05","7/11/16","10/6/19","2/8/17","6/30/17","1/17/18","6/1/18","1/27/19","3/16/19",NA,NA,NA,NA,NA,"Camera is blury and washed out - need to replace"
"J07","7/7/16","10/12/19","12/27/16","3/15/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J09","7/12/16","7/4/17","12/25/16","3/1/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J11","7/12/16","10/5/19","11/28/16","6/22/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J13","7/11/16","10/5/19","1/14/17","6/20/17","1/9/18","6/29/18","3/27/19","5/28/19",NA,NA,NA,NA,NA,NA
"K04","7/11/16","10/6/19","9/24/16","11/5/16","7/3/18","7/24/18","2/22/18","6/11/18","3/16/19","7/19/19",NA,NA,NA,NA
"K06","7/13/16","10/12/19","5/6/18","9/15/18","5/26/19","6/3/19",NA,NA,NA,NA,NA,NA,"some photos with date reset",NA
"K08","7/13/16","10/12/19","12/26/16","4/13/17","1/2/18","5/17/18","1/9/19","4/17/19",NA,NA,NA,NA,NA,NA
"K10","7/13/16","10/12/19","8/8/16","11/12/16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12","7/11/16","10/5/19","1/8/17","6/20/17","1/2/18","4/20/18",NA,NA,NA,NA,NA,NA,NA,NA
"L05","7/11/16","10/6/19","1/4/17","6/30/17","12/31/17","7/3/18","2/11/19","8/23/19",NA,NA,NA,NA,"Veg overgrew camera",NA
"L07","7/13/16","9/4/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L09","7/13/16","11/12/16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L11","7/11/16","10/5/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L13","7/13/16","6/25/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M08","7/11/16","9/10/19","2/17/17","5/26/19",NA,NA,NA,NA,NA,NA,NA,NA,"Lots of misfires, but vegetation not overgrown camera",NA
"M10","7/11/16","10/5/19","3/3/17","6/25/17","11/17/17","5/31/19",NA,NA,NA,NA,NA,NA,NA,NA
