Camera,Start,End,Problem1_from,Problem1_to,Problem2_from,Problem2_to,Problem3_from,Problem3_to
A06,7/7/16,12/31/16,,,,,,
A08,7/7/16,2/7/18,1/31/17,6/16/17,,,,
A10,7/7/16,11/7/17,12/21/16,6/17/17,,,,
B05,7/5/16,6/27/17,1/13/17,2/23/17,,,,
B07,7/5/16,6/28/18,,,,,,
B09,7/7/16,5/27/18,1/10/17,4/22/17,1/20/18,2/18/18,,
C06,7/5/16,12/29/17,1/7/17,4/15/17,,,,
C08,7/5/16,5/11/18,,,,,,
D03,6/23/16,6/28/18,12/27/16,6/9/17,12/28/17,3/18/18,,
D05,7/6/16,4/10/18,1/20/17,6/11/17,,,,
D07,6/23/16,5/8/18,9/21/16,10/28/16,,,,
D09,7/11/16,12/24/16,8/7/16,11/13/16,,,,
E02,6/23/16,1/7/18,2/20/17,6/9/17,,,,
E04,7/6/16,9/9/17,,,,,,
E06,6/25/16,8/16/17,1/28/17,5/11/17,,,,
E08,6/25/16,12/17/17,12/5/16,2/16/17,,,,
E10,7/8/16,11/23/17,,,,,,
E12,7/14/16,6/29/17,,,,,,
F01,7/6/16,5/8/18,12/4/16,6/27/17,,,,
F03,6/25/16,7/14/18,12/26/16,6/11/17,1/29/18,5/8/18,,
F05,7/6/16,9/26/17,8/2/16,11/5/16,1/6/17,6/11/17,,
F07,7/5/16,9/15/18,3/6/17,6/10/17,10/17/17,5/13/18,,
F09,9/9/16,7/6/17,12/27/16,5/17/17,,,,
F11,7/8/16,5/27/18,12/20/16,3/16/17,12/31/17,3/5/18,,
G02,7/6/16,5/13/18,11/5/16,6/12/17,12/25/17,4/20/18,,
G04,6/25/16,5/11/18,,,,,,
G06,7/5/16,5/13/18,,,,,,
G08,7/12/16,9/15/18,12/29/16,1/4/17,,,,
G10,7/8/16,6/29/17,,,,,,
G12,7/10/16,3/7/17,,,,,,
H03,7/6/16,6/10/18,,,,,,
H05,7/5/16,9/15/18,1/20/18,5/13/18,,,,
H07,7/7/16,8/17/17,12/27/16,4/2/17,,,,
H09,7/7/16,6/17/17,,,,,,
H11,7/10/16,5/17/17,,,,,,
H13,7/10/16,2/2/17,,,,,,
I04,7/5/16,4/21/18,,,,,,
I06,7/7/16,12/28/17,12/27/16,4/15/17,,,,
I08,7/12/16,3/22/18,1/8/17,6/22/17,,,,
I10,7/12/16,12/11/17,12/26/16,3/27/17,,,,
I12,7/10/16,5/27/18,12/25/16,4/27/17,,,,
I14,7/12/16,1/9/17,,,,,,
J03,7/5/16,12/14/17,12/18/16,6/18/17,,,,
J05,7/11/16,1/17/18,2/8/17,6/30/17,,,,
J07,7/7/16,7/3/18,12/27/16,3/15/17,,,,
J09,7/12/16,7/4/17,12/25/16,3/1/17,,,,
J11,7/12/16,6/29/18,11/28/16,6/22/17,,,,
J13,7/11/16,1/9/18,1/14/17,6/20/17,,,,
K04,7/11/16,7/3/18,9/24/16,11/5/16,2/11/17,6/30/17,2/22/18,6/11/18
K06,7/13/16,5/6/18,,,,,,
K08,7/13/16,9/12/18,12/26/16,4/13/17,1/2/18,5/17/18,,
K10,7/13/16,9/12/18,8/8/16,11/12/16,,,,
K12,7/11/16,6/29/18,1/8/17,6/20/17,1/2/18,4/20/18,,
L05,7/11/16,12/31/17,1/4/17,6/30/17,,,,
L07,7/13/16,9/4/17,,,,,,
L09,7/13/16,11/12/16,,,,,,
L11,7/11/16,6/29/18,,,,,,
L13,7/13/16,6/25/17,,,,,,
M08,7/11/16,2/17/17,,,,,,
M10,7/11/16,11/17/17,3/3/17,6/25/17,,,,